date,goal_id,delta,source
2026-08-01,apply_202608,2,manual
2026-08-02,apply_202608,0,manual
2026-08-03,apply_202608,3,notion_diff
2026-08-04,apply_202608,1,notion_diff
2026-08-05,apply_202608,4,notion_diff
2026-08-06,apply_202608,0,notion_diff
2026-08-07,apply_202608,2,notion_diff
2026-08-08,apply_202608,3,notion_diff
2026-08-09,apply_202608,1,notion_diff
2026-08-10,apply_202608,2,notion_diff
2026-08-11,apply_202608,4,notion_diff
2026-08-12,apply_202608,2,notion_diff
2026-08-13,apply_202608,2,notion_diff
2026-08-14,apply_202608,4,notion_diff
2026-08-15,apply_202608,1,notion_diff
2026-08-17,apply_202608,1,notion_diff
2026-08-19,apply_202608,2,notion_diff
2026-08-21,apply_202608,1,notion_diff
2026-08-23,apply_202608,1,notion_diff
2026-08-26,apply_202608,1,notion_diff
2026-08-29,apply_202608,1,notion_diff
2026-08-01,leetcode_202608,5,manual
2026-08-03,leetcode_202608,3,manual
2026-08-05,leetcode_202608,4,manual
2026-08-07,leetcode_202608,2,manual
2026-08-08,leetcode_202608,4,manual
2026-08-10,leetcode_202608,5,manual
2026-08-11,leetcode_202608,3,manual
2026-08-12,leetcode_202608,4,manual
2026-08-14,leetcode_202608,5,manual
2026-08-15,leetcode_202608,4,manual
2026-08-16,leetcode_202608,2,manual
2026-08-17,leetcode_202608,5,manual
2026-08-18,leetcode_202608,3,manual
2026-08-19,leetcode_202608,4,manual
2026-08-21,leetcode_202608,5,manual
2026-08-22,leetcode_202608,4,manual
2026-08-23,leetcode_202608,3,manual
2026-08-24,leetcode_202608,5,manual
2026-08-25,leetcode_202608,3,manual
2026-08-26,leetcode_202608,4,manual
2026-08-27,leetcode_202608,2,manual
2026-08-28,leetcode_202608,5,manual
2026-08-29,leetcode_202608,3,manual
2026-08-30,leetcode_202608,4,manual
2026-08-04,article_202608,1,manual
2026-08-17,article_202608,1,manual
